Date,Open,High,Low,Close ,Adj Close ,Volume
18-Dec-24,451.32,452.65,437.02,437.39,436.51,"24,444,500"
17-Dec-24,451.01,455.29,449.57,454.46,453.55,"22,733,500"
16-Dec-24,447.27,452.18,445.28,451.59,450.69,"23,598,800"
13-Dec-24,448.44,451.43,445.58,447.27,446.37,"20,177,800"
12-Dec-24,449.11,456.16,449.11,449.56,448.66,"20,834,800"
11-Dec-24,444.05,450.35,444.05,448.99,448.09,"19,200,200"
10-Dec-24,444.39,449.62,441.6,443.33,442.44,"18,469,500"
9-Dec-24,442.6,448.33,440.5,446.02,445.13,"19,144,400"
6-Dec-24,442.3,446.1,441.77,443.57,442.68,"18,821,000"
5-Dec-24,437.92,444.66,436.17,442.62,441.73,"21,697,800"
4-Dec-24,433.03,439.67,432.63,437.42,436.54,"26,009,400"
3-Dec-24,429.84,432.47,427.74,431.2,430.34,"18,302,000"
2-Dec-24,421.57,433,421.31,430.98,430.12,"20,207,200"
29-Nov-24,420.09,424.88,417.8,423.46,422.61,"16,271,900"
27-Nov-24,425.11,427.23,422.02,422.99,422.14,"18,332,400"
26-Nov-24,419.59,429.04,418.85,427.99,427.13,"23,458,900"
25-Nov-24,418.38,421.08,414.85,418.79,417.95,"27,691,100"
22-Nov-24,411.37,417.4,411.06,417,416.17,"24,814,600"
21-Nov-24,419.5,419.78,410.29,412.87,412.04,"20,780,200"
20-Nov-24,416.87,417.29,410.58,415.49,413.83,"19,191,700"
19-Nov-24,413.11,417.94,411.55,417.79,416.12,"18,133,500"
18-Nov-24,414.87,418.4,412.1,415.76,414.1,"24,742,000"
15-Nov-24,419.82,422.8,413.64,415,413.34,"28,247,600"
14-Nov-24,425,428.17,420,426.89,425.18,"30,246,900"
13-Nov-24,421.64,429.33,418.21,425.2,423.5,"21,502,200"
12-Nov-24,418.25,424.44,417.2,423.03,421.34,"19,401,200"
11-Nov-24,422.52,424.81,416,418.01,416.34,"24,503,300"
8-Nov-24,425.32,426.5,421.78,422.54,420.85,"16,891,400"
7-Nov-24,421.28,426.85,419.88,425.43,423.73,"19,901,800"
6-Nov-24,412.42,420.45,410.52,420.18,418.5,"26,681,800"
5-Nov-24,408.37,414.9,408.08,411.46,409.82,"17,626,000"
4-Nov-24,409.8,410.42,405.57,408.46,406.83,"19,672,300"
1-Nov-24,409.01,415.5,407.5,410.37,408.73,"24,230,400"
31-Oct-24,415.36,416.16,406.3,406.35,404.73,"53,971,000"
30-Oct-24,437.44,438.5,432.1,432.53,430.8,"29,749,100"
29-Oct-24,428,433.17,425.8,431.95,430.22,"17,644,100"
28-Oct-24,431.66,431.94,426.3,426.59,424.89,"14,882,400"
25-Oct-24,426.76,432.52,426.57,428.15,426.44,"16,899,100"
24-Oct-24,425.33,425.98,422.4,424.73,423.03,"13,581,600"
23-Oct-24,430.86,431.08,422.53,424.6,422.9,"19,654,400"
22-Oct-24,418.49,430.58,418.04,427.51,425.8,"25,482,200"
21-Oct-24,416.12,418.96,413.75,418.78,417.11,"14,206,100"
18-Oct-24,417.14,419.65,416.26,418.16,416.49,"17,145,300"
17-Oct-24,422.36,422.5,415.59,416.72,415.06,"14,820,000"
16-Oct-24,415.17,416.36,410.48,416.12,414.46,"15,508,900"
15-Oct-24,422.18,422.48,415.26,418.74,417.07,"18,900,200"
14-Oct-24,417.77,424.04,417.52,419.14,417.47,"16,653,100"
11-Oct-24,416.14,417.13,413.25,416.32,414.66,"14,144,900"
10-Oct-24,415.23,417.35,413.15,415.84,414.18,"13,848,400"
9-Oct-24,415.86,420.38,414.3,417.46,415.79,"14,974,300"
8-Oct-24,410.9,415.66,408.17,414.71,413.05,"19,229,300"
7-Oct-24,416,417.11,409,409.54,407.9,"20,919,800"
4-Oct-24,418.24,419.75,414.97,416.06,414.4,"19,169,700"
3-Oct-24,417.63,419.55,414.29,416.54,414.88,"13,686,400"
2-Oct-24,422.58,422.82,416.71,417.13,415.46,"16,582,300"
1-Oct-24,428.45,428.48,418.81,420.69,419.01,"19,092,900"
30-Sep-24,428.21,430.42,425.37,430.3,428.58,"16,807,300"
27-Sep-24,431.52,431.85,427.47,428.02,426.31,"14,896,100"
26-Sep-24,435.09,435.3,429.13,431.31,429.59,"14,492,000"
25-Sep-24,429.83,433.12,428.57,432.11,430.38,"13,396,400"
24-Sep-24,433,433.35,426.1,429.17,427.46,"17,015,800"
23-Sep-24,434.28,436.46,430.39,433.51,431.78,"15,128,900"
20-Sep-24,437.22,439.24,434.22,435.27,433.53,"55,167,100"
19-Sep-24,441.23,441.5,436.9,438.69,436.94,"21,706,600"
18-Sep-24,435,436.03,430.41,430.81,429.09,"18,898,000"
17-Sep-24,440.23,441.85,432.27,435.15,433.41,"18,874,200"
16-Sep-24,430.6,433.53,428.22,431.34,429.62,"13,834,700"
13-Sep-24,425.83,431.83,425.46,430.59,428.87,"15,874,600"
12-Sep-24,423.31,427.37,419.75,427,425.29,"17,418,800"
11-Sep-24,415.5,423.99,409.58,423.04,421.35,"19,266,900"
10-Sep-24,408.2,416.33,407.7,414.2,412.55,"19,594,300"
9-Sep-24,407.24,408.65,402.15,405.72,404.1,"15,295,100"
6-Sep-24,409.06,410.65,400.8,401.7,400.1,"19,609,500"
5-Sep-24,407.62,413.1,406.13,408.39,406.76,"14,195,500"
4-Sep-24,405.91,411.24,404.37,408.9,407.27,"15,135,800"
3-Sep-24,417.91,419.88,407.03,409.44,407.8,"20,313,600"
